"mal_id","anime_title","score","members","start_date","url"
"1","Cowboy Bebop","8.76","1557631","19980403","https://myanimelist.net/anime/1/Cowboy_Bebop"
"6","Trigun","8.22","641079","19980401","https://myanimelist.net/anime/6/Trigun"
"7","Witch Hunter Robin","7.26","103412","20020702","https://myanimelist.net/anime/7/Witch_Hunter_Robin"
"18","Initial D Fourth Stage","8.14","146845","20040417","https://myanimelist.net/anime/18/Initial_D_Fourth_Stage"
"21","One Piece","8.62","1789268","19991020","https://myanimelist.net/anime/21/One_Piece"
"24","School Rumble","7.90","301804","20041005","https://myanimelist.net/anime/24/School_Rumble"
"25","Sunabouzu","7.40","123338","20041006","https://myanimelist.net/anime/25/Sunabouzu"
"26","Texhnolyze","7.76","212316","20030417","https://myanimelist.net/anime/26/Texhnolyze"
"27","Trinity Blood","7.31","169606","20050429","https://myanimelist.net/anime/27/Trinity_Blood"
"47","Akira","8.16","699014","19880716","https://myanimelist.net/anime/47/Akira"
"48",".hack//Sign","6.96","169099","20020404","https://myanimelist.net/anime/48/hack__Sign"
"53","Ai Yori Aoshi","7.12","102439","20020411","https://myanimelist.net/anime/53/Ai_Yori_Aoshi"
"57","Beck","8.30","296299","20041007","https://myanimelist.net/anime/57/Beck"
"58","Blue Gender","7.03","72206","19991008","https://myanimelist.net/anime/58/Blue_Gender"
"59","Chobits","7.41","440121","20020403","https://myanimelist.net/anime/59/Chobits"
"60","Chrno Crusade","7.63","210776","20031125","https://myanimelist.net/anime/60/Chrno_Crusade"
"67","Basilisk: Kouga Ninpou Chou","7.56","170031","20050413","https://myanimelist.net/anime/67/Basilisk__Kouga_Ninpou_Chou"
"68","Black Cat (TV)","7.35","250584","20051007","https://myanimelist.net/anime/68/Black_Cat_TV"
"71","Full Metal Panic!","7.62","449493","20020108","https://myanimelist.net/anime/71/Full_Metal_Panic"
"72","Full Metal Panic? Fumoffu","8.05","273458","20030826","https://myanimelist.net/anime/72/Full_Metal_Panic_Fumoffu"
"73","Full Metal Panic! The Second Raid","7.94","243002","20050714","https://myanimelist.net/anime/73/Full_Metal_Panic_The_Second_Raid"
"75","Soukyuu no Fafner: Dead Aggressor","7.28","43705","20040705","https://myanimelist.net/anime/75/Soukyuu_no_Fafner__Dead_Aggressor"
"79","Shuffle!","7.05","259626","20050708","https://myanimelist.net/anime/79/Shuffle"
"97","Last Exile","7.81","159999","20030408","https://myanimelist.net/anime/97/Last_Exile"
"98","Mai-HiME","7.43","107478","20040930","https://myanimelist.net/anime/98/Mai-HiME"
"99","Mai-Otome","7.29","48313","20051007","https://myanimelist.net/anime/99/Mai-Otome"
"100","Shin Shirayuki-hime Densetsu Prétear","7.17","57905","20010404","https://myanimelist.net/anime/100/Shin_Shirayuki-hime_Densetsu_Prétear"
"101","Air","7.29","278205","20050107","https://myanimelist.net/anime/101/Air"
"108","Ou Dorobou Jing in Seventh Heaven","7.27","12259","20040121","https://myanimelist.net/anime/108/Ou_Dorobou_Jing_in_Seventh_Heaven"
"109","Bakuretsu Tenshi","6.80","65467","20040407","https://myanimelist.net/anime/109/Bakuretsu_Tenshi"
"120","Fruits Basket","7.68","491284","20010705","https://myanimelist.net/anime/120/Fruits_Basket"
"121","Fullmetal Alchemist","8.12","1323809","20031004","https://myanimelist.net/anime/121/Fullmetal_Alchemist"
"134","Gunslinger Girl","7.40","173580","20031009","https://myanimelist.net/anime/134/Gunslinger_Girl"
"141","Jinki:Extend","6.11","10552","20050106","https://myanimelist.net/anime/141/Jinki_Extend"
"144","Kanon","7.09","60295","20020131","https://myanimelist.net/anime/144/Kanon"
"147","Kimi ga Nozomu Eien","7.21","132368","20031005","https://myanimelist.net/anime/147/Kimi_ga_Nozomu_Eien"
"152","Solty Rei","7.27","27355","20051007","https://myanimelist.net/anime/152/Solty_Rei"
"156","X","7.41","75061","20011003","https://myanimelist.net/anime/156/X"
"157","Mahou Sensei Negima!","6.95","130184","20050106","https://myanimelist.net/anime/157/Mahou_Sensei_Negima"
"161","Peace Maker Kurogane","7.31","53864","20031008","https://myanimelist.net/anime/161/Peace_Maker_Kurogane"
"166","Samurai 7","7.46","120402","20040612","https://myanimelist.net/anime/166/Samurai_7"
"167","Scrapped Princess","7.39","87537","20030408","https://myanimelist.net/anime/167/Scrapped_Princess"
"177","Tsubasa Chronicle","7.53","210880","20050409","https://myanimelist.net/anime/177/Tsubasa_Chronicle"
"180","Vandread","7.18","77924","20001003","https://myanimelist.net/anime/180/Vandread"
"181","Vandread: The Second Stage","7.40","50120","20011005","https://myanimelist.net/anime/181/Vandread__The_Second_Stage"
"182","Tenkuu no Escaflowne","7.68","138791","19960402","https://myanimelist.net/anime/182/Tenkuu_no_Escaflowne"
"184","Xenosaga The Animation","6.34","19026","20050106","https://myanimelist.net/anime/184/Xenosaga_The_Animation"
